beta__0,beta__1,beta__2,beta__3
-0.06670946030113754,-0.2875406019263818,1.1258063643839475,-0.46464153358203725
-0.056118919068651414,-0.3239035370950739,1.134867471412138,-0.4790121204861689
-0.13209809453925075,-0.27431777895130965,1.1585313254027738,-0.47155555312341385
-0.12685265322505146,-0.19764481305812479,1.1605093072475232,-0.49703123929039916
-0.1280810723992348,-0.19445585702761736,1.1581360609756917,-0.5018234639973638
-0.12329287857651816,-0.22154043162177822,1.0961904186103946,-0.4973046824270397
-0.14140091121861986,-0.32062507393306094,1.2184880650724266,-0.4649529467452021
-0.1467434531619081,-0.2936604922230605,1.2335790511663496,-0.45655563601600424
-0.15467969513263927,-0.41758713530807684,1.307022228048285,-0.395027133697904
-0.06615228098905405,-0.4554415641505822,1.3072843596503434,-0.43541027041933594
-0.1225410703716184,-0.23796854116162414,1.0616916957028488,-0.4536150044121187
-0.1596092452891843,-0.2691948977724124,1.091475066654461,-0.3593973640357424
-0.1596092452891843,-0.2691948977724124,1.091475066654461,-0.3593973640357424
-0.15331531060621362,-0.2557090129768859,0.987868911264537,-0.3508641529409486
-0.10156505853767019,-0.23566068143928023,1.2958593262902964,-0.6360128828145631
-0.12055054638826415,-0.20901503399594945,1.2028484221284153,-0.605089528070611
-0.11798838400805398,-0.18989146225513312,1.2240835936318364,-0.556365327448613
-0.0975715181237397,-0.3119278271876176,1.1117033543324744,-0.3874057086704305
-0.0975715181237397,-0.3119278271876176,1.1117033543324744,-0.3874057086704305
-0.10713914257753857,-0.28328332065230344,1.192847039703946,-0.5101154463215946
-0.10143422463888671,-0.3799364643656019,1.1485015750738297,-0.373454275866784
-0.06526192482904936,-0.4134454719389131,1.1275539816207394,-0.3627690169502408
-0.08421475328674247,-0.4097277245346025,1.1255123902738988,-0.35393145792967684
-0.19686568109749736,-0.34261986448961307,1.2294513777270135,-0.369927932450913
-0.07842733248315074,-0.33324979799139653,1.191763089938659,-0.4850852029071675
-0.07842733248315074,-0.33324979799139653,1.191763089938659,-0.4850852029071675
-0.10280351637452265,-0.3070888835200681,1.098199605262829,-0.4097413554909365
-0.11179732658407229,-0.3123569375681616,1.212169064001977,-0.47885701187086765
-0.15034380102412853,-0.34105116759986576,1.2247747897751695,-0.46298819433078436
-0.15064993429699275,-0.337461917533736,1.2295415579117122,-0.46028927109663664
-0.08597918270561389,-0.2474275118168283,1.027406039072793,-0.45184507951419844
-0.1886853736606353,-0.2745988648762313,1.237796736492673,-0.48668324064675184
-0.08391991332587297,-0.28169413714354347,1.144380813861311,-0.45625670725738765
-0.10795547842918964,-0.3996412274311239,1.2932157928317263,-0.4384514465404466
-0.09677721008882555,-0.405449807756662,1.2714661196332253,-0.4530514756029755
-0.11709155002302053,-0.30844454021421275,1.1817707058886744,-0.462210864341076
-0.10035510680131023,-0.37301580201689727,1.2002032486823704,-0.42633800185468756
-0.1474924661923127,-0.23881048747919761,1.1127249564501072,-0.44290199227588734
-0.1474924661923127,-0.23881048747919761,1.1127249564501072,-0.44290199227588734
-0.12765981555517253,-0.2703864424737786,1.1326266768880848,-0.4260453358178804
-0.1782845258242553,-0.3053863199177367,1.192055128305102,-0.42712951031611024
-0.1395616042675546,-0.3684913463415832,1.209215999221723,-0.40576918372915016
-0.09436289855856751,-0.36573837309369783,1.1732980704304725,-0.41691206812206744
-0.09593385631482121,-0.3486134331018134,1.2270975023036936,-0.42821393609924485
-0.10899416063449603,-0.35793060969517826,1.1612609901555258,-0.4242880495155139
-0.1313682570738316,-0.29522343646381977,1.1133236005785268,-0.4197484314499376
-0.12001186682250024,-0.3390905688986693,1.0936235471104425,-0.3665109933042779
